CFV COINFUND  —  SAM MASTER LIST  |  270-Day Battle Plan (Data Quality Resolved),,,,,,,,,,,,,
"2,144 firms   |   P1: 410   |   P2: 1,339   |   P3: 395   |   Phones: all resolved   |   Est. capital at 20% conversion: $5.97B",,,,,,,,,,,,,
Rank,Priority,Firm Name,City,State,Zip,Phone,AUM,AUM Tier,Est. Commit,Territory,Status,Notes,Address
103,P1,SATURN MANAGEMENT LLC,ST. PETERSBURG,FL,33701,(617) 574-3330,"$106,928,203",$100-150M,"$3,742,487",Associate 1,,,1101 4TH ST S
104,P1,"GPWM QOF MANAGER, LLC",EAGLE,ID,83616,(208) 938-5557,"$106,207,626",$100-150M,"$3,717,267",Associate 1,,,339 W. STATE STREET
105,P1,"AZ-VC, LLC",SCOTTSDALE,AZ,85251,(650) 400-7621,"$105,690,326",$100-150M,"$3,699,161",Associate 1,,,7465 E OSBORN ROAD
106,P1,"MGP VENTURE FUND III GP, LLC",NASHVILLE,TN,37215,(615) 843-9100,"$105,132,784",$100-150M,"$3,679,647",Associate 1,,,3835 CLEGHORN AVE
107,P1,"SAMSON CAPITAL GROUP, LLC",DALLAS,TX,75219,(512) 799-7622,"$104,500,000",$100-150M,"$3,657,500",Associate 1,,,3899 MAPLE AVENUE
108,P1,VIRGO CAPITAL,AUSTIN,TX,78703,(512) 215-4102,"$103,185,000",$100-150M,"$3,611,475",Associate 1,,,3112 WINDSOR ROAD
109,P1,DIS MANAGEMENT COMPANY,MIAMI BEACH,FL,33139,(917) 656-8390,"$103,152,371",$100-150M,"$3,610,333",Associate 1,,,1000 SOUTH POINT DRIVE
110,P1,"TRENT CAPITAL PARTNERS, LLC",NAPLES,FL,34105,(239) 403-0217,"$102,938,549",$100-150M,"$3,602,849",Associate 1,,,"2640 GOLDEN GATE PARKWAY, SUITE 105"
111,P1,"KAIROI FUND MANAGEMENT, LLC",SAN ANTONIO,TX,78205,(210) 817-0072,"$102,590,602",$100-150M,"$3,590,671",Associate 1,,,711 NAVARRO STREET
112,P1,"VOCAP INVESTMENT PARTNERS, LLC",VERO BEACH,FL,32960,(772) 766-4157,"$100,119,405",$100-150M,"$3,504,179",Associate 1,,,2770 INDIAN RIVER BLVD
113,P1,TRIQUETRA CAPITAL LLC,PALM BEACH,FL,33480,(917) 447-4281,"$100,000,000",$100-150M,"$3,500,000",Associate 1,,,220 SUNRISE AVE
114,P1,VALEDOR PARTNERS,HOUSTON,TX,77098,(281) 896-0270,"$99,484,492",$50-100M,"$2,984,535",Associate 1,,,3355 W ALABAMA ST
115,P1,"NXSTEP INVESTMENT ADVISORS, LP",AUSTIN,TX,78703,(512) 289-7798,"$99,451,885",$50-100M,"$2,983,557",Associate 1,,,1700 WEST 6TH ST.
116,P1,HK MANAGEMENT LLC,MIAMI,FL,33133,(917) 446-9175,"$98,866,807",$50-100M,"$2,966,004",Associate 1,,,"3162 COMMODORE PLAZA, UNIT 2C"
117,P1,STRAIGHTPATH MANAGEMENT INC,JUPITER,FL,33458,(646) 767-7404,"$98,108,768",$50-100M,"$2,943,263",Associate 1,,,601 HERITAGE DRIVE SUITE 220
